ID,ID Update,Phone Number,Phone Number Update,Country Code,Name,Name Update,Email,Email Update,Birthday (dd/mm/yyyy),Birthday (yyy-mm-dd),Total Point,Extra Point,Final Point,Status
MERAH,10021032400001,08291638248,+628291638248,ID,Danny Pittman.,Danny Pittman,U12445@test.com,U12445@test.com,22/04/1975,1975-04-22,194,3,197.0,Inactive
MERAH,10021032400001,08178088192,+628178088192,ID,Irvin Parker.,Irvin Parker,U12446@test.com,U12446@test.com,20/03/1970,1970-03-20,487,3,490.0,Inactive
MERAH,10021032400001,08965952782,+628965952782,ID,Monique Bonilla.,Monique Bonilla,U12447@test.com,U12447@test.com,21/08/2006,2006-08-21,77,3,80.0,Inactive
MERAH,10021032400001,08598794830,+628598794830,ID,Ezequiel Gross.,Ezequiel Gross,U12448@test.com,U12448@test.com,18/01/1960,1960-01-18,139,3,142.0,Inactive
MERAH,10021032400001,08612465835,+628612465835,ID,Shane Pineda.,Shane Pineda,U12449@test.com,U12449@test.com,13/02/2007,2007-02-13,476,3,479.0,Inactive
MERAH,10021032400001,08301902225,+628301902225,ID,Emmett Richmond.,Emmett Richmond,U12450@test.com,U12450@test.com,10/07/2002,2002-07-10,212,3,215.0,Inactive
MERAH,10021032400001,08418574593,+628418574593,ID,Harper Obrien.,Harper Obrien,U12451@test.com,U12451@test.com,22/05/1991,1991-05-22,797,3,800.0,Inactive
MERAH,10021032400001,08212556676,+628212556676,ID,Livia Oconnell.,Livia Oconnell,U12452@test.com,U12452@test.com,29/12/1996,1996-12-29,890,3,893.0,Inactive
MERAH,10021032400001,08765275802,+628765275802,ID,Darrell Nunez.,Darrell Nunez,U12453@test.com,U12453@test.com,25/08/2009,2009-08-25,591,3,594.0,Inactive
MERAH,10021032400001,08926047840,+628926047840,ID,Eugene Bennett.,Eugene Bennett,U12454@test.com,U12454@test.com,10/12/1977,1977-12-10,827,3,830.0,Active
MERAH,10021032400001,08936991107,+628936991107,ID,Damari Ball.,Damari Ball,U12455@test.com,U12455@test.com,04/01/1978,1978-01-04,185,3,188.0,Active
MERAH,10021032400001,08822313906,+628822313906,ID,Kian Thomas.,Kian Thomas,U12456@test.com,U12456@test.com,30/04/2003,2003-04-30,996,3,999.0,Active
MERAH,10021032400001,08556022356,+628556022356,ID,Caleb Wyatt.,Caleb Wyatt,U12457@test.com,U12457@test.com,25/08/1984,1984-08-25,229,3,232.0,Active
MERAH,10021032400001,08953838144,+628953838144,ID,Stella Pacheco.,Stella Pacheco,U12458@test.com,U12458@test.com,23/08/1978,1978-08-23,206,3,209.0,Active
MERAH,10021032400001,08240656201,+628240656201,ID,Caitlyn Montes.,Caitlyn Montes,U12459@test.com,U12459@test.com,12/05/1962,1962-05-12,283,3,286.0,Active
MERAH,10021032400001,08970584798,+628970584798,ID,Levi Fleming.,Levi Fleming,U12460@test.com,U12460@test.com,14/04/1994,1994-04-14,638,3,641.0,Active
MERAH,10021032400001,08916487739,+628916487739,ID,Tristian Schroeder.,Tristian Schroeder,U12461@test.com,U12461@test.com,21/09/2000,2000-09-21,800,3,803.0,Active
MERAH,10021032400001,08387606578,+628387606578,ID,Angel Summers.,Angel Summers,U12462@test.com,U12462@test.com,07/07/2006,2006-07-07,636,3,639.0,Active
MERAH,10021032400001,08994176381,+628994176381,ID,Clare Yoder.,Clare Yoder,U12463@test.com,U12463@test.com,02/04/1983,1983-04-02,892,3,895.0,Active
MERAH,10021032400001,08744752838,+628744752838,ID,Genevieve Proctor.,Genevieve Proctor,U12464@test.com,U12464@test.com,19/01/1961,1961-01-19,279,3,282.0,Active
MERAH,10021032400001,08617026393,+628617026393,ID,Tiara Baird.,Tiara Baird,U12465@test.com,U12465@test.com,10/11/1966,1966-11-10,132,3,135.0,Active
MERAH,10021032400001,08271513013,+628271513013,ID,Natalya Riggs,Natalya Riggs,U12466@test.com,U12466@test.com,02/03/1996,1996-03-02,64,3,67.0,Active
MERAH,10021032400001,08221236381,+628221236381,ID,Luka Bruce,Luka Bruce,U12467@test.com,U12467@test.com,17/11/1976,1976-11-17,860,3,863.0,Active
MERAH,10021032400001,08319032234,+628319032234,ID,Charles Olsen,Charles Olsen,U12468@test.com,U12468@test.com,01/08/1973,1973-08-01,221,3,224.0,Active
MERAH,10021032400001,08919433471,+628919433471,ID,Keira Hickman,Keira Hickman,U12469@test.com,U12469@test.com,29/11/1995,1995-11-29,985,3,988.0,Active
MERAH,10021032400001,08478970746,+628478970746,ID,Jayla Simmons,Jayla Simmons,U12470@test.com,U12470@test.com,05/09/2004,2004-09-05,545,3,548.0,Active
MERAH,10021032400001,08810436479,+628810436479,ID,Paulina Hogan,Paulina Hogan,U12471@test.com,U12471@test.com,09/04/2000,2000-04-09,677,3,680.0,Active
MERAH,10021032400001,08520540291,+628520540291,ID,Brodie Ray,Brodie Ray,U12472@test.com,U12472@test.com,06/06/2008,2008-06-06,372,3,375.0,Active
MERAH,10021032400001,08133858842,+628133858842,ID,Maurice York,Maurice York,U12473@test.com,U12473@test.com,05/01/1977,1977-01-05,422,3,425.0,Active
MERAH,10021032400001,08855587410,+628855587410,ID,Ernesto Melendez,Ernesto Melendez,U12474@test.com,U12474@test.com,18/01/1999,1999-01-18,878,3,881.0,Active
MERAH,10021032400001,08862790756,+628862790756,ID,Joyce Cole,Joyce Cole,U12475@test.com,U12475@test.com,14/06/1984,1984-06-14,155,3,158.0,Active
MERAH,10021032400001,08916536982,+628916536982,ID,Jay Hubbard,Jay Hubbard,U12476@test.com,U12476@test.com,19/03/1966,1966-03-19,522,3,525.0,Active
MERAH,10021032400001,08545793717,+628545793717,ID,Sarai Arnold,Sarai Arnold,U12477@test.com,U12477@test.com,04/05/1993,1993-05-04,56,3,59.0,Active
MERAH,10021032400001,08453598970,+628453598970,ID,Fletcher Whitehead,Fletcher Whitehead,U12478@test.com,U12478@test.com,16/03/2008,2008-03-16,450,3,453.0,Active
MERAH,10021032400001,08782318964,+628782318964,ID,Beckham Gilbert,Beckham Gilbert,U12479@test.com,U12479@test.com,23/09/2008,2008-09-23,272,3,275.0,Active
MERAH,10021032400001,08559612607,+628559612607,ID,Brenna Cervantes,Brenna Cervantes,U12480@test.com,U12480@test.com,04/04/1982,1982-04-04,487,3,490.0,Active
MERAH,10021032400001,08577301623,+628577301623,ID,Cristopher Rojas,Cristopher Rojas,U12481@test.com,U12481@test.com,14/05/1960,1960-05-14,501,3,504.0,Active
MERAH,10021032400001,08845330195,+628845330195,ID,Amir Koch,Amir Koch,U12482@test.com,U12482@test.com,14/11/1979,1979-11-14,865,3,868.0,Active
MERAH,10021032400001,08631546927,+628631546927,ID,Arielle Riggs,Arielle Riggs,U12483@test.com,U12483@test.com,22/08/2001,2001-08-22,952,3,955.0,Active
MERAH,10021032400001,08970647613,+628970647613,ID,Emily Mcfarland,Emily Mcfarland,U12484@test.com,U12484@test.com,06/04/2004,2004-04-06,233,3,236.0,Active
MERAH,10021032400001,08402433956,+628402433956,ID,Jolie Ellison,Jolie Ellison,U12485@test.com,U12485@test.com,08/12/1980,1980-12-08,520,3,523.0,Active
MERAH,10021032400001,08670458223,+628670458223,ID,Lorena Li,Lorena Li,U12486@test.com,U12486@test.com,16/05/2000,2000-05-16,543,3,546.0,Active
MERAH,10021032400001,08797079345,+628797079345,ID,Conner Martin,Conner Martin,U12487@test.com,U12487@test.com,13/05/1974,1974-05-13,745,3,748.0,Active
MERAH,10021032400001,08763632319,+628763632319,ID,Leon Lamb,Leon Lamb,U12488@test.com,U12488@test.com,22/01/1978,1978-01-22,370,3,373.0,Active
MERAH,10021032400001,0882056826232,+62882056826232,ID,Maximo Walker,Maximo Walker,U12489@test.com,U12489@test.com,25/11/1971,1971-11-25,331,3,334.0,Active
MERAH,10021032400001,08559250946,+628559250946,ID,Andreas Small,Andreas Small,U12490@test.com,U12490@test.com,04/10/1972,1972-10-04,679,3,682.0,Active
MERAH,10021032400001,08509822191,+628509822191,ID,Clay Schmitt,Clay Schmitt,U12491@test.com,U12491@test.com,28/04/1989,1989-04-28,697,3,700.0,Active
MERAH,10021032400001,08286165623,+628286165623,ID,Leia Hardin,Leia Hardin,U12492@test.com,U12492@test.com,21/11/1988,1988-11-21,994,3,997.0,Active
MERAH,10021032400001,08617098803,+628617098803,ID,Eduardo Mullen,Eduardo Mullen,U12493@test.com,U12493@test.com,27/08/2000,2000-08-27,521,3,524.0,Active
MERAH,10021032400001,08129138838,+628129138838,ID,Sanaa Prince,Sanaa Prince,U12494@test.com,U12494@test.com,15/03/1999,1999-03-15,429,3,432.0,Active
MERAH,10021032400001,08832910482,+628832910482,ID,Rachael Richardson,Rachael Richardson,U12495@test.com,U12495@test.com,17/06/1969,1969-06-17,312,3,315.0,Active
MERAH,10021032400001,08534071379,+628534071379,ID,Javier Good,Javier Good,U12496@test.com,U12496@test.com,09-05-1973,1973-05-09,895,3,898.0,Active
MERAH,10021032400001,08756638892,+628756638892,ID,"Campbell, Jimenez",Campbell Jimenez,U12497@test.com,U12497@test.com,22-05-2008,2008-05-22,71,3,74.0,Active
MERAH,10021032400001,08929247946,+628929247946,ID,"Hugh, Meyers",Hugh Meyers,U12498@test.com,U12498@test.com,01-08-1990,1990-08-01,442,3,445.0,Active
MERAH,10021032400001,08631649973,+628631649973,ID,"Levi, Cunningham",Levi Cunningham,U12499@test.com,U12499@test.com,29/07/1981,1981-07-29,843,3,846.0,Active
MERAH,10021032400001,08583350108,+628583350108,ID,"Milton, Lambert",Milton Lambert,U12500@test.com,U12500@test.com,09/06/1975,1975-06-09,69,3,72.0,Active
MERAH,10021032400001,08994448466,+628994448466,ID,"Cash, Hull",Cash Hull,U12501@test.com,U12501@test.com,19/08/1999,1999-08-19,349,3,352.0,Active
MERAH,10021032400001,08777821880,+628777821880,ID,"Joe, Hood",Joe Hood,U12502@test.com,U12502@test.com,11/02/1972,1972-02-11,308,3,311.0,Active
MERAH,10021032400001,08517928079,+628517928079,ID,"Conner, Vang",Conner Vang,U12503@test.com,U12503@test.com,24/03/1967,1967-03-24,563,3,566.0,Active
MERAH,10021032400001,08995710339,+628995710339,ID,"Kadyn, Baird",Kadyn Baird,U12504@test.com,U12504@test.com,04/04/1965,1965-04-04,253,3,256.0,Active
MERAH,10021032400001,08835432280,+628835432280,ID,"Ashtyn, Bass",Ashtyn Bass,U12505@test.com,U12505@test.com,14/02/1974,1974-02-14,743,3,746.0,Active
MERAH,10021032400001,08352841885,+628352841885,ID,"Leanna, Rhodes",Leanna Rhodes,U12506@test.com,U12506@test.com,07/09/1980,1980-09-07,137,3,140.0,Active
MERAH,10021032400001,08891854725,+628891854725,ID,"Kiara, Osborne",Kiara Osborne,U12507@test.com,U12507@test.com,06/02/1983,1983-02-06,350,3,353.0,Active
